matiere,intitule,reponse,motsCles
Anglais,Comment dit-on "bonjour" en anglais ?,Hello,Hello
Anglais,Quel est le mot anglais pour "maison" ?,House,House
Anglais,Comment dit-on "chat" en anglais ?,Cat,Cat
Anglais,Quelle est la couleur "bleu" en anglais ?,Blue,Blue
Anglais,Comment s'appelle le chiffre "5" en anglais ?,Five,Five
Anglais,Quel est le mot anglais pour "école" ?,School,School
Anglais,Comment dit-on "merci" en anglais ?,Thank you,Thank you
Anglais,Quel est le mot anglais pour "livre" ?,Book,Book
Anglais,Comment s'appelle le jour "lundi" en anglais ?,Monday,Monday
Anglais,Quelle est la couleur "vert" en anglais ?,Green,Green
Anglais,Comment dit-on "fleur" en anglais ?,Flower,Flower
Anglais,Quel est le mot anglais pour "ami" ?,Friend,Friend
Anglais,Comment s'appelle le mois "juillet" en anglais ?,July,July
Anglais,Quelle est la couleur "rouge" en anglais ?,Red,Red
Anglais,Comment dit-on "pomme" en anglais ?,Apple,Apple
Anglais,Quel est le mot anglais pour "grand" ?,Big,Big
Anglais,Comment s'appelle le chiffre "10" en anglais ?,Ten,Ten
Anglais,Quelle est la couleur "jaune" en anglais ?,Yellow,Yellow
Anglais,Comment dit-on "chien" en anglais ?,Dog,Dog
Anglais,Quel est le mot anglais pour "heureux" ?,Happy,Happy
Anglais,Comment s'appelle le mois "février" en anglais ?,February,February
Anglais,Quelle est la couleur "rose" en anglais ?,Pink,Pink
Anglais,Comment dit-on "manger" en anglais ?,Eat,Eat
Anglais,Quel est le mot anglais pour "petit" ?,Small,Small
Anglais,Comment s'appelle le jour "dimanche" en anglais ?,Sunday,Sunday
Anglais,Quelle est la couleur "orange" en anglais ?,Orange,Orange
Anglais,Comment dit-on "pluie" en anglais ?,Rain,Rain
Anglais,Quel est le mot anglais pour "frère" ?,Brother,Brother
Anglais,Comment s'appelle le chiffre "15" en anglais ?,Fifteen,Fifteen
Anglais,Quelle est la couleur "marron" en anglais ?,Brown,Brown
Anglais,Comment dit-on "dormir" en anglais ?,Sleep,Sleep
Anglais,Quel est le mot anglais pour "soeur" ?,Sister,Sister
Anglais,Comment s'appelle le mois "octobre" en anglais ?,October,October
Anglais,Quelle est la couleur "violet" en anglais ?,Purple,Purple
Anglais,Comment dit-on "étoile" en anglais ?,Star,Star
Anglais,Quel est le mot anglais pour "jouer" ?,Play,Play
Anglais,Comment s'appelle le jour "mercredi" en anglais ?,Wednesday,Wednesday
Anglais,Quelle est la couleur "gris" en anglais ?,Gray,Gray
Anglais,Comment dit-on "avion" en anglais ?,Plane,Plane
Anglais,Quel est le mot anglais pour "maman" ?,Mom,Mom
Anglais,Comment s'appelle le chiffre "20" en anglais ?,Twenty,Twenty
Anglais,Quelle est la couleur "blanc" en anglais ?,White,White
Anglais,Comment dit-on "soleil" en anglais ?,Sun,Sun
Anglais,Quel est le mot anglais pour "papa" ?,Dad,Dad
Anglais,Comment s'appelle le mois "mai" en anglais ?,May,May
Anglais,Quelle est la couleur "noir" en anglais ?,Black,Black
Anglais,Comment dit-on "écouter" en anglais ?,Listen,Listen
Anglais,Quel est le mot anglais pour "maître" ?,Teacher,Teacher
Anglais,Comment s'appelle le jour "jeudi" en anglais ?,Thursday,Thursday
