matiere,intitule,reponse,motsCles
francais,Quel est le synonyme du mot "content" ?,Heureux,Heureux
francais,Quel est l'antonyme du mot "petit" ?,Grand,Grand
francais,Trouve le verbe dans la phrase : "Le chien court dans le jardin".,Court,Court
francais,Quel est le féminin du mot "acteur" ?,Actrice,Actrice
francais,Trouve l'adjectif qualificatif dans la phrase : "Le ciel est bleu".,Bleu,Bleu
francais,Quel est l'article défini qui convient : "___ soleil brille aujourd'hui".,Le,Le
francais,Trouve le pronom personnel dans la phrase : "Elle joue au parc".,Elle,Elle
francais,Combien de syllabes contient le mot "ordinateur" ? Ecris en chiffre.,4,4
francais,Quel est le pluriel du mot "cheval" ?,Chevaux,Chevaux
francais,Trouve l'adverbe dans la phrase : "Elle chante magnifiquement".,Magnifiquement,Magnifiquement
francais,Trouve l'infinitif du verbe conjugué dans la phrase : "Elle mange une pomme".,Manger,Manger
francais,Trouve l'adjectif possessif dans la phrase : "Notre maison est grande".,Notre,Notre
francais,Quel est le participe passé du verbe "voir" ?,Vu,Vu
Français,Quel est le sujet de la phrase "Les enfants jouent dans le jardin." ?,Les enfants,Les enfants
Français,Quel est l'infinitif du verbe conjugué dans la phrase "Elle chante magnifiquement." ?,Chanter,Chanter
Français,Quel est le pluriel de "château" ?,Châteaux,Châteaux
Français,Donne un exemple d'adjectif qualificatif.,Heureux,Heureux
Français,Transforme la phrase "Je vais à l'école" à la forme négative.,Je ne vais pas à l'école,Ne;Vais;Pas
Français,Quel est le participe passé du verbe "manger" ?,Mangé,Mangé
Français,Donne le synonyme de "intelligent".,Malin,Malin
Français,Conjugue le verbe "aller" à la deuxième personne du pluriel au présent.,Vous allez,Vous allez
Français,Quelle est la fonction du complément d'objet direct dans une phrase ?,Il complète le verbe en répondant à la question "quoi ?" ou "qui ?",quoi|qui
Français,Quel est le superlatif de l'adjectif "grand" ?,Le plus grand,Le plus grand
Français,Quel est le nom de l'auteur de "Le Petit Prince" ?,Antoine de Saint-Exupéry,Saint-Exupéry|Saint-Exupery
Français,Quel est l'imparfait du verbe "être" à la première personne du pluriel ?,Nous étions,Nous étions
Français,Quelle est la nature du mot souligné dans la phrase "La petite fille était très sage." ?,Adjectif,Adjectif
Français,Forme le féminin de "acteur".,Actrice,Actrice
Français,Quel est le futur simple du verbe "avoir" à la troisième personne du singulier ?,Il/elle aura,Il;Aura|Elle;Aura
Français,Donne un exemple d'onomatopée.,Boum,Bam|Boum|Bang|Paf|Splash|Tic-tac|Hourra|Miaou|Ouaf|Coin-coin|Meuh|Glou-glou|Plop|Toc-toc|Vroum|Clic|Clac|Ding-dong|Glissade|Zip|Zut|Sniff|Hourra|Rire|Applaudissement|Tada|Oups|Hic|Haha|Youpi|
Français,Quel est le nom de la principale rivière qui traverse Paris ?,La Seine,Seine
Français,Conjugue le verbe "partir" à la première personne du pluriel au passé composé.,Nous sommes partis,Nous sommes partis
Français,Quel est le pluriel de "animal" ?,Animaux,Animaux
Français,Quelle est la règle d'accord du participe passé avec l'auxiliaire "être" ?,Il s'accorde en genre et en nombre avec le sujet.,Genre;Nombre
Français,Quel est le comparatif de supériorité de l'adjectif "petit" ?,Plus petit,Plus;Petit
Français,Conjugue le verbe "savoir" à la deuxième personne du singulier au conditionnel.,Tu saurais,Tu saurais
Français,Quel est le pluriel de "monsieur" ?,Messieurs,Messieurs
Français,Donne le contraire de "mince".,Épais,Épais|Epais
Français,Transforme la phrase "Il mange la pomme" à la forme passive.,La pomme est mangée par lui.,Est|Mangée
Français,Conjugue le verbe "vouloir" à la première personne du singulier au subjonctif présent.,Que je veuille,Que je veuille
Français,Quel est le futur antérieur du verbe "aller" à la troisième personne du pluriel ?,Ils seront allés,Ils seront allés
Français,Quel est l'impératif du verbe "écouter" à la deuxième personne du pluriel ?,Écoutez,Écoutez
Français,Quel est le nom de l'auteur de "Roméo et Juliette" ?,William Shakespeare,Shakespeare
Français,Quel est le passé simple du verbe "avoir" à la troisième personne du singulier ?,Il eut,Il eut
Français,Conjugue le verbe "dire" à la première personne du singulier au présent de l'indicatif.,Je dis,Je dis
Français,Quelle est la nature du mot souligné dans la phrase "Il pleut [fort]." ?,Adverbe,Adverbe
Français,Quel est le subjonctif imparfait du verbe "être" à la deuxième personne du pluriel ?,Vous fussiez,Vous fussiez
Français,Donne le pluriel de "cheval".,Chevaux,Chevaux
Français,Conjugue le verbe "venir" à la troisième personne du pluriel au futur.,Ils viendront,Ils viendront
Français,Quel est l'adverbe de manière de l'adjectif "rapide" ?,Rapidement,Rapidement
Français,Quel est l'infinitif du verbe conjugué dans la phrase "Tu chantes bien." ?,Chanter,Chanter
Français,Conjugue le verbe "faire" à la deuxième personne du singulier au conditionnel.,Tu ferais,Tu ferais
Français,Quelle est la nature du mot souligné dans la entre crochets "Il y a beaucoup [de] livres." ?,Préposition,Préposition|Preposition
Français,Quel est le passé composé du verbe "pouvoir" à la première personne du pluriel ?,Nous avons pu,Nous avons pu
Français,Quel est le nom de l'auteur de "Les Misérables" ?,Victor Hugo,Hugo
